Alistipes_shahii_WAL_8301,Bacteroides_caccae_ATCC_43185,Bacteroides_coprocola_M16_DSM_17136,Bacteroides_fragilis_NCTC_9343,Bacteroides_intestinalis_341_DSM_17393,Bacteroides_thetaiotaomicron_VPI_5482,Bacteroides_uniformis_ATCC_8492,Bifidobacterium_adolescentis_ATCC_15703,Bifidobacterium_longum_NCC2705,Clostridium_clostridioforme_CM201,Collinsella_tanakaei_YIT_12063,Escherichia_coli_str_K_12_substr_MG1655,Faecalibacterium_prausnitzii_L2_6,Haemophilus_parainfluenzae_T3T1,Megasphaera_elsdenii_DSM_20460,Parabacteroides_distasonis_ATCC_8503,Parabacteroides_johnsonii_DSM_18315,Prevotella_ruminicola_23,Roseburia_intestinalis_L1_82,Shigella_flexneri_2002017
THMabcpp,METAT,sink_s,DHQS,DTMPK,GLYCLTDxr,EX_ca2(e),GRTT,r2137,G3PATAI17,PSDAI17,3OAS60,FE2abc,PNTO_Rtex,HEPT4,TDPDRRr,IMPC,Cuabcpp,Kt1r,CLPNSAI17
3OAR9M10,MEPCT,DHQS,IHPDCOATA,METAT,3OAR9M10,IMPC,ACOAAGPATAI17,ARGSL,EX_pydx(e),TECA5SI17,H2CO3D,UAAGDS,ACCOACL,S7PIr,PRATPP,MECDPS,PTPAT,EX_so4(e),3OAR120
Q8tex,SERATi,EX_pydx(e),G3PATAI17,MEPCT,Q8tex,MECDPS,CDPGLYCGPT,ARGSS,UAPGR,DHQS,UDCPDPS,DMATT,PSDAI17,3HAD13M14,DPR,PNTK,UMPK,UDPGDr,3OAR9M10
Cuabcpp,EX_cu2(e),UAPGR,3OAR160,SERATi,Cuabcpp,PNTK,TMDS,EX_ca2(e),PAPPT3,IHPDCOATA,MOAT3C,ALAALA,CAt4ipp,SHKK,DB4PS,ACHBPL,MTHFD,UAGCVT_r,Cuabcpp
PTPAT,ILETA,PAPPT3,UAPGR,EX_cu2(e),3OAS160,CYSTS,THMabc,OMPDC,3HAD13M14,G3PATAI17,CA2tex,UACMAMAT,DHQS,3OAS9M10,ARGSS,EX_so4(e),DTMPK,PRAMPC,PTPAT
UMPK,GTPCII,EACPR1,PAPPT3,ILETA,PTPAT,ADK10,PPBNGS,DHORTS,SHKK,EX_pydx(e),pbiosynthesis,EX_ca2(e),BTNCLi,HEPT3,EX_ca2(e),UAGCVT_r,METAT,AICART,MTHFD
MTHFD,EAR100x,HEPT4,HEPT4,UAGDP,UMPK,ACHBPL,sink_gthrd(c),MECDPS,3OAS9M10,UAPGR,GALT1,MECDPS,IHPDCOATA,OIVD1r,3HAD12M14,PRAMPC,MEPCT,UAG4E,DTMPK
DTMPK,CLtex,S7PIr,S7PIr,GTPCII,DTMPK,EX_so4(e),EX_ocdca(e),PNTK,OIVD1r,DAPDC,3OAR120,PNTK,G3PATAI17,AIRC4,SPMDtex,AICART,EX_cu2(e),AGPR,METAT
MEPCT,3HACPR1,SHKK,AMPMS2,EAR100x,METAT,EACPR2,Cuabc,ACOTA,PGPGT,PAPPT3,SO4t2pp,ADK10,HIS_Ltex,PGPP180,IMPC,MOAT,OIVD3,ACGS,UPPDC1
EX_cu2(e),LYS_Ltex,3OAACPR1,3HAD13M14,CLtex,MEPCT,UAGCVT_r,RNTR4,ADK10,ASPTA,3HAD13M14,Cuabcpp,Kt1r,UAPGR,3OAR11M12,MECDPS,3OAR100,ILETA,DPCOAK,MEPCT
OIVD3,HEPT2,HEPT3,SHKK,LYS_Ltex,EX_cu2(e),PRAMPC,THRS,CDPMEK,EX_pheme(e),SHKK,PTPAT,EX_so4(e),DAPDC,MOAT3C,PNTK,AGPR,UAGDP,ADK3,biomass353
ILETA,EAR120x,H2CO3D,3OAS9M10,LYSt3rpp,OIVD3,AICART,3HAD5M6,CSND,EAR10M12x,3OAS9M10,DTMPK,UDPGDr,PAPPT3,CA2tex,ACHBPL,ZNabcpp,PGSAI17,EX_cgly(e),EX_cu2(e)
UAGDP,3OAR40,UDCPDPS,HEPT3,EDTXS2,ILETA,MALCOAMT,UGMDDS,EX_so4(e),PSSAI17,OIVD1r,METAT,UAGCVT_r,HEPT4,DHPPDA,SHEMEabcpp,rtranscription,EAR100x,ACOTA,OIVD3
CGLYt3_2_pp,GLYAT,PPNDH,OIVD1r,UAAGDS,PGSAI17,MOAT,ACCOACL,UAGCVT_r,EAR7M8x,PGPGT,MEPCT,EX_pnto_R(e),S7PIr,3HAD7M8,EX_so4(e),3OAS60,3OAR7M8,DAPE,PGSAI17
PGSAI17,HSST,MOAT3C,METt2rpp,PItex,GTPCII,3OAR100,TMDPK,EX_pnto_R(e),UAMAGS,UDCPDPS,EX_cu2(e),UAG4E,3HAD13M14,pbiosynthesis,UAGCVT_r,H2CO3D,CLtex,CDPGLYCGPT,EAR100x
PYDXabcpp,3HAD120,CA2tex,PRO_Ltex,DMATT,EAR100x,AGPR,PRAGS,SHK3Dr,3OAS8M10,PGPP180,EAR100x,EX_thymd(e),SHKK,FE3tex,IVCOATA,UDCPDPS,FE3abcpp,EX_fum(e),3OAR7M8
3OAR7M8,PANTS,DHPPDA,EAR15M16x,KDOPSr,3OAR7M8,DBTS,FACOAL180i,LYSt2r,TECA2SI17,EX_26dap_M(e),CLtex,PPNDH,3OAS9M10,DASYNI17,3HAD11M12,PPNDH,EAR8M10x,DHQS,CLtex
CLtex,UAMAGS,pbiosynthesis,EDTXS2,HSTPTr,CLtex,H2CO3D,TECAAE,CHORS,PSCVT,3OAR11M12,THDPS,pbiosynthesis,HEPT3,DHQTi,PRAMPC,MOAT3C,3OAR5M6,UAPGR,EAR8M10x
FE3abcpp,EX_pi(e),FE3tex,DM_kdo2lipid4L(c),CBPS,EAR8M10x,AIRC4,3OAS10M12,MEPCT,COBALTt5,PPNDH,HEPT2,UTPATPT,OIVD1r,GALT1,AICART,CA2tex,LYS_Ltex,DAPDC,3OAR5M6
EAR8M10x,PSCVT,EAR140x,3HAD10M12,26DAP_Mtex,3OAR5M6,UDCPDPS,GLUTRR,DDPA,MECDPDH2,TECA2S180,EAR120x,GAPD,G1SAT,CLPNSAI17,IPDPUPT,DHPPDA,EAR11M12x,PAPPT3,EAR11M12x
FAS140ACPrev,U23GAAT,DHQTi,UAAGDS,MOHMT,LYS_Ltex,MOAT3C,AHCYSNS_r,EX_cu2(e),EX_cobalt2(e),OPHBDC,3OAR40,DHQTi,EAR15M16x,SO4t2pp,MOAT,pbiosynthesis,3HAD8M10,SHKK,NAPRT
HISD,TDPDRE,GALT1,ACBIPGT,ALAALA,EAR11M12x,CA2tex,DM_dhptd(c),UAGDP,EX_mn2(e),3HAD7M8,3HAD120,THMDt4,EDTXS2,3OAR9M10,3OAR100,EAR140x,PRO_Ltex,PGPGT,EAR15M16x
3OAR5M6,MECDPDH2,3OAR120,RZ5PP,TDPDRRr,3HAD8M10,DHPPDA,ADK3,PGAMT,OCDCAt2,pbiosynthesis,UAMAGS,EX_his_L(e),OPHHX3,Cuabcpp,AGPR,DHQTi,G3PAT180,CA2abc,EDTXS2
EAR11M12x,EX_cobalt2(e),SO4t2pp,PItex,PRATPP,ADCL,pbiosynthesis,r2137,sink_PGPm1[c],3OAR8M10,DASYNI17,U23GAAT,G3PCT,3HAD10M12,PTPAT,EAR4M6x,GALT1,EAR15M16x,dreplication,3HAD10M12
3HAD8M10,EX_mn2(e),Cuabcpp,PRAIS,DPR,LYSt3rpp,UTPATPT,ARGSL,ACGAMT,HETT,GAPD,TDPDRE,PTPAT,UAAGDS,UMPK,DM_4HBA,H2Stex,EDTXS2,G1PACT,UAAGDS
3MOBS,RHAT1,PSP_L,DMATT,DB4PS,TDSK,EAR140x,ARGSS,TRDRr,3OAR14M16,TECA5S180,MECDPDH2,UMPK,ACBIPGT,DTMPK,HEMEtipp,3OAR120,3HAD10M12,ASPTA,ACBIPGT
EAR15M16x,EX_cl(e),PTPAT,KDOPSr,ARGSS,3OAR4M6,DHQTi,EX_ca2(e),FE2abc,EX_cl(e),DHQTi,EX_cobalt2(e),DTMPK,RZ5PP,MEPCT,3OAR15M16,SO4t2pp,UAAGDS,PRAGS,RZ5PP
EDTXS2,NNATr,UMPK,HSTPTr,EX_ca2(e),GLUR,GALT1,OMPDC,UAAGDS,FRD3,CLPNSAI17,EX_mn2(e),METAT,IGPS,EX_cu2(e),H2CO3D,Cuabcpp,ACBIPGT,GLUPRT,DMATT
DM_kdo2lipid4L(c),PROt4rpp,DTMPK,GTPCI,IMPC,RBFSb,3OAR120,GART,IGPS,PSD180,EAR15M16,RHAT1,MEPCT,DMATT,OIVD3,PGPP180,PSP_L,RZ5PP,UAMAGS,KDOPSr
3HAD10M12,EX_met_L(e),METAT,CBPS,MECDPS,3OAS11M12,SO4t2pp,DHORTS,DMATT,FMNAT,OMBZLM,EX_cl(e),EX_cu2(e),KDOPSr,UAGDP,3OAR11M12,PTPAT,IGPS,EX_pi(e),GTPCI
UAAGDS,CYSS3r,MEPCT,MOHMT,PNTK,DPCOAK,Cuabcpp,CLPNSI17,EX_biomass(e),TECA2SAI17,3OAR9M10,UAGAAT,UAGDP,GTPCI,PGSAI17,MOAT3C,UMPK,PItex,EX_ala_L(e),ALAALA
ACBIPGT,UAGAAT,EX_cu2(e),ALAALA,ACHBPL,3HAD160,PTPAT,3HAD12M14,OCBT,FOLt,G3PCT,USHD,ALAt2r,ALAALA,GTPCII,CA2tex,DTMPK,PRAIS,PSCVT,TDPDRRr
RZ5PP,RNTR1,ILETA,TDPDRRr,EX_so4(e),THRD_L,UMPK,EAR5M6,TECA4S,TECAGE,AACPS6,GMHEPAT,sink_PGPm1[c],TDPDRRr,3OAR7M8,DHPPDA,METAT,DMATT,G6PDA,DB4PS
DMATT,USHD,UAGDP,PRATPP,UAGCVT_r,ACOTA,DTMPK,3OAS4M3O6,THDPS,4HBZCL,PTPAT,FMNAT,ACGAMT,OMMBLHX3,CLtex,3HAD7M8,MEPCT,KDOPSr,MECDPDH2,EX_ca2(e)
KDOPSr,GMHEPAT,GTPCII,DPR,PRAMPC,EAR5M6x,METAT,PSDI17,DAPE,TECAUE,UMPK,GMHEPK,IPDPS2,DB4PS,FE3abcpp,pbiosynthesis,SERATi,ALAALA,EX_cobalt2(e),3HAD12M14
HSTPTr,FMNAT,EAR100x,DB4PS,AICART,APRAUR,MEPCT,HEXTT,ASPCT,CHORS,DTMPK,CU2tex,PGK,EX_ca2(e),EAR8M10x,DASYNI17,EX_cu2(e),TDPDRRr,EX_mn2(e),HEXTT
AMPTASECG,GMHEPK,CLtex,ARGSS,MOAT,3OAS100,EX_cu2(e),PPPGO3,DHFR,DDPA,CGLYabc,3OAS120,GLUR,3HAD12M14,ADSL2r,GAPD,ILETA,EX_ca2(e),ADSL1r,PPPGO3
FOLtex,CHORS,3HACPR1,EX_ca2(e),3OAR100,DAPE,ILETA,3OAR10M12,SUCOAS,EX_thm(e),METAT,HEPT1,DPCOAK,HEXTT,3OAR5M6,EAR140x,UAGDP,3HAD12M14,EX_cl(e),MECDPS
26DAP_Mtex,DDPA,CYSTGL,3HAD12M14,AGPR,CLPNS180,GTPCII,HBZOPT,PPCDC,EAR13M14x,MEPCT,MNt2pp,EX_trp_L(e),MECDPS,GARFTi,DHQTi,GTPCII,GLYCtex,NNATr,PNTK
MOHMT,CU2tex,LYS_Ltex,SPMDtex,MNt2pp,3HAD40,EAR100x,AMMQT8r,DXPRIr,MALCOAPYRCT,EX_cu2(e),TDPGDH,HISt2r,PNTK,PRASCSi,GALT1,EAR100x,MECDPS,RNTR1,EX_so4(e)
ALAALA,3OAS120,LYSt3rpp,IMPC,TDPGDH,3OAS80,CLtex,IMPC,UAG4E,IG3PS,OIVD3,FE2abcpp,FE3abc,UAGCVT_r,EAR11M12x,CLPNSAI17,CLtex,PNTK,FMNAT,UAGCVT_r
TTDCAtex,IG3PS,TDSK,MECDPS,FE2abcpp,EX_pro_L(e),ADSL2r,MECDPS,ANPRT,3OAS12M14,UAGDP,UAGPT3,UAMAGS,EX_pnto_R(e),3HAD8M10,3OAR120,LYS_Ltex,ADK10,TECAGE,IVCOATA
TDPDRRr,HEPT1,GLUR,PNTK,3HAD140,sink_gthrd(c),3HACPR1,PPTT,GRTT,OHPHM,ALAt2r,RBFK,EX_ala_L(e),IVCOATA,ADCL,SO4t2pp,LYSt3rpp,ILEt2rpp,TECAUE,3HAD11M12
PRATPP,LYSt3rpp,HEPT2,ACHBPL,UAGPT3,PSDAI17,PRASCSi,PNTK,AGPR,UDCPDPS,PGSAI17,UDCPDP,PSCVT,3HAD11M12,TDSK,HEX10,TDSK,EX_so4(e),ACODAr,MOAT
OCDCAt2pp,TDSK,EAR120x,SHEMEabcpp,RBFK,CAt4ipp,TDSK,RNTR2,UPPRT,PGPP180,ACGAMT,HEPK2,TRPabc,MOAT,3OAR4M6,3OAR9M10,HEPT2,UAGCVT_r,CHORS,3OAR100
DAPabcpp,GLUR,3OAR40,EX_so4(e),UDCPDP,DHQS,GLUR,CYSTS,CDPGLYCGPT,EX_26dap_M(e),3OAR7M8,BPNT,MECDPDH2,3OAR100,PRAGS,Q8tex,EAR120x,IVCOATA,DDPA,EAR4M6x
FACOAL180i,AMAOTr,3HAD120,EX_mqn8(e),HEPK2,IHPDCOATA,MNt2pp,ADK10,TMDS,3OAR11M12,PAAI17P,r2137pp,EX_cobalt2(e),EAR4M6x,HEPT2,Cuabcpp,3OAR40,3HAD11M12,PGAMT,HEPT2
ARGSS,RBFSb,PANTS,UAGCVT_r,r2137pp,G3PATAI17,TDPGDH,PGPPI17,ACGS,PPNDH,EAR8M10x,EX_fe2(e),EX_mn2(e),4HTHDR,GLUPRT,GLYCLTtex,3HAD120,MOAT,IG3PS,EAR120x
EX_ca2(e),DPCOAK,UAMAGS,IVCOATA,BPNT,3OAR160,FE2abcpp,DM_GCALD,Cuabc,TECA2S180,EAR4M6,UHGADA,EX_cl(e),HEPT2,EAR10M12x,3OAS160,PANTS,3OAR100,TECA4S,3OAR40
3HAD12M14,ACOTA,EX_pi(e),3HAD11M12,EX_fe2(e),UAPGR,3HAD140,ACHBPL,EX_lys_L(e),OPHBDC,3OAR5M6,CDOSKT,NNATr,EAR120x,PSSAI17,PTPAT,UAMAGS,EAR4M6x,UAGPT3,EAR10M12x
SPMDtex,AOXSr2,PSCVT,PRAMPC,PRPPS,PAPPT3,UAGPT3,CDPMEK,UGMDDS,3HAD7M8,EAR11M12x,FE2tex,RPI,3OAR40,EAR7M8x,UMPK,EX_pi(e),4HTHDR,RBFK,PSSAI17
TDCOATA,APRAUR,U23GAAT,ICHORS,EX_h2s(e),HEPT4,RBFK,OMPHHX3,CHORM,pbiosynthesis,3HAD8M10,CDPMEK,RNTR1,EAR10M12x,UAMAGS,DTMPK,ASP4DC,CBIAT,26DAPLLAT,3HAD120
EX_ttdca(e),3OAS100,TDPDRE,AICART,UHGADA,S7PIr,26DAPLLAT,EX_so4(e),GF6PTA,DASYNI17,PGK,SUCOAS,FMNAT,PSSAI17,EX_pi(e),METAT,PSCVT,MNt2pp,UDCPDP,EAR7M8x
IMPC,DAPE,PYDXtrpp,IPDPUPT,ARGSL,AMPMS2,UDCPDP,DHAD2,ACGK,TECA5S180,GGTT,DXPRIr,TECAGE,3HAD120,3OAS8M10,MEPCT,U23GAAT,3OAR12M14,BPNT,UAMAGS
MECDPS,3OAACPR2,MECDPDH2,MOAT,CDOSKT,3HAD13M14,HEPK2,EX_mqn8(e),MNt2,DHQTi,3OAR4M6,GRTT,TECAUE,EAR7M8x,PSCVT,EX_cu2(e),TDPDRE,TDPGDH,EX_fe2(e),3OAS8M10
PNTK,3HAD40,EX_cobalt2(e),3OAR100,RNTR2,SHKK,r2137pp,UAGCVT_r,DHQS,CLPNSAI17,GLUR,GLCTR1,CHORS,UAMAGS,U23GAAT,OIVD3,MECDPDH2,FE2abcpp,PRPPS,PSCVT
ADK10,3OAS80,EX_mn2(e),AGPR,FE2tex,3OAS9M10,BPNT,EX_pnto_R(e),ACPS1,OMBZLM,3OAS11M12,3HAD80,DDPA,3OAS8M10,TDPDRE,ILETA,VALTA,UAGPT3,r2137,U23GAAT
ACHBPL,EX_pro_L(e),RHAT1,EAR4M6x,CDPMEK,HEPT3,EX_fe2(e),SHK3Dr,EX_mg2(e),3OAR9M10,PGMT,G1PTT,PGAMT,PSCVT,MG2abcpp,UAGDP,EX_cobalt2(e),RBFK,ARGSL,TDPDRE
SHEMEabcpp,sink_s,EX_cl(e),HEMEtipp,SHK3Dr,OIVD1r,PRPPS,METFR,rtranscription,G3PCT,EAR7M8,MN2tex,TECA4S,U23GAAT,MECDPDH2,PGSAI17,EX_mn2(e),UDCPDP,Coabc,MECDPDH2
EX_so4(e),DHQS,NNATr,EAR160x,ASP1DC,PRO_Ltex,UHGADA,IVCOATA,UAPGR,PTPAT,FE2abc,3HAD60,TYRt2r,TDPDRE,EX_cobalt2(e),GTPCII,ADSL1r,HEPK2,RNTR2,EX_cobalt2(e)
UAGCVT_r,UAPGR,EX_met_L(e),MNt2pp,THRD,EAR15M16x,ARGSL,CHORS,PAPPT3,DTMPK,3HAD10M12,ACPS1,UAGPT3,MECDPDH2,EX_mn2(e),EAR100x,RHAT1,r2137pp,CDPMEK,EX_mn2(e)
IVCOATA,PAPPT3,GALU,3OAR12M14,biomass536,EDTXS2,CDOSKT,PRFGS,UAG2E,CGLYabc,UAAGDS,TDSK,RBFK,EX_cobalt2(e),ADSL1r,3OAR7M8,EX_cl(e),BPNT,SHK3Dr,GLUTRS
3HAD11M12,EACPR1,RPI,TDPGDH,DXPRIr,3HAD10M12,RNTR2,EAR9M10x,UAMAGS,METAT,ACBIPGT,GLUR,26DAPLLAT,PTRCt2pp,3OAR8M10,CLtex,NNATr,NNDMBRT,DXPRIr,3OAR8M10
PRAMPC,HEPT4,UAGAAT,FE2abcpp,GRTT,UAAGDS,FE2tex,MEPCT,EX_pi(e),MEPCT,RZ5PP,SDPDS,UDCPDP,EX_mn2(e),RHAT1,EAR8M10x,GALU,EX_fe2(e),GRTT,HETT
AICART,S7PIr,RNTR1,3HAD140,PMDPHT,ACBIPGT,CDPMEK,UPPDC1,H2CO3D,EX_cu2(e),TECA3SI17,DPCOAK,BPNT,GLUTRS,3OAR14M16,3OAR5M6,UAGAAT,EX_thr_L(e),ATPPRT,RHAT1
MOAT,SHKK,USHD,AHC,ATPPRT,RZ5PP,SHK3Dr,3OAS3M4,SHKK,OIVD3,DMATT,3OAS100,EX_fe2(e),3OAR8M10,EX_cl(e),LYS_Ltex,RNTR1,3OAS7M8,MNabc,3OAR14M16
AGPR,3OAACPR1,GMHEPAT,UAGPT3,GLCTR1,PItex,MEOHt2pp,DDPA,PSCVT,UAGDP,HSTPTr,DAPE,PRPPS,HETT,NNATr,EAR11M12x,USHD,PRPPS,IGPDH,EX_cl(e)
EAR4M6x,HEPT3,FMNAT,RBFK,3HAD80,PRAIS,ASP1DC,EX_cu2(e),COBALTt5,PGSAI17,PNTOt4,3HAD40,r2137,RHAT1,GALU,3HAD8M10,GMHEPAT,3OAS10M12,CHORM,UAGAAT
HEMEtipp,METt2rpp,RHCCE,26DAPLLAT,G1PTT,DMATT,biomass536,NAPRT,EX_k(e),ACGAMT,TRPt2r,3OAS80,Coabc,3OAR14M16,RPI,PGK,FMNAT,UHGADA,EX_glu_L(e),PSD180
TDSK,AHSERL3,GMHEPK,UDCPDP,IGPDH,KDOPSr,MEOHtex,OIVD3,UDCPDPS,3OAR7M8,AMPTASECG,CAt4ipp,RNTR2,EX_cl(e),UAGAAT,ADCL,GMHEPK,CDOSKT,ACPS1,USHD
3OAR4M6,PRAI,CHORS,HEPK2,MN2tex,ADOCBIK2,DXPRIr,EAR12M14x,PPNDH,PAAI17P,OCDCAtr,UAPGR,CDPMEK,DAPMDH,PSD180,LYSt3rpp,CHORS,GLYCtpp,EX_mg2(e),GMHEPAT
GLUR,PRO_Ltex,DDPA,r2137pp,3HAD60,HSTPTr,GRTT,DM_5MTR,EX_ribflv(e),EAR8M10x,ALAALA,PAPPT3,SHK3Dr,UAGAAT,RNTR1,TDSK,DDPA,CLPNSI17,rtranscription,FMNAT
GTHRD,EDTXS2,CU2tex,BPNT,EX_lys_L(e),GTPCI,PMDPHT,G3PAT180,MECDPDH2,3OAR5M6,PYDXabc,HEPT4,DXPRIr,PSD180,USHD,3OAR4M6,CU2tex,PSDI17,GMPS2,DHFS
3OAS11M12,UAAGDS,3OAS120,NNDMBRT,CHORM,CBPS,ATPPRT,EX_thm(e),PGPGT,EAR11M12x,PRATPP,S7PIr,GRTT,USHD,GMHEPAT,GLUR,3OAS120,FE2tex,H2CO3D,RHCCE
DPCOAK,IGPS,PGAMT,EX_fe2(e),ACPS1,MOHMT,GLCTR1,EAR15M16x,EX_cobalt2(e),3HAD8M10,UACMAMAT,HEPT3,MNabc,GMHEPAT,FMNAT,RBFSb,PGAMT,PGPPI17,AIRC4,GMHEPK
ADK3,PItex,TKT1,3OAS7M8,EX_mg2(e),ALAALA,3HAD80,UAGDP,pbiosynthesis,GGTT,OMMBLHX3,Ktex,EX_lys_L(e),FMNAT,DHFS,MNt2pp,TKT1,CDPMEK,UDCPDPS,CHORS
PYDXtex,DMATT,PSERT,PRPPS,GMHEPPA,TDPDRRr,G1PTT,PGAMT,EX_mn2(e),3OAR4M6,ASNt2r,SDPTA,CHORM,DHFS,GMHEPK,3OAR12M14,PSERT,SHK3Dr,PPNDH,DDPA
EX_cgly(e),KDOPSr,IG3PS,3OAS10M12,ZNabcpp,PRATPP,IGPDH,sink_PGPm1[c],ASPKi,GLUR,EX_ca2(e),dreplication,ACPS1,RHCCE,CHORS,TDPGDH,IG3PS,METFR,pbiosynthesis,CU2tex
THRD_L,EX_meoh(e),HEPT1,UHGADA,rtranscription,DPR,MN2tex,PGSAI17,UTPATPT,THRt2r,3HAD12M14,COBALTt5pp,EX_mg2(e),PNTOt4pp,DDPA,FE2abcpp,HEPT1,MTHFC,UTPATPT,3OAS120
biomass399,HSTPTr,MNt2pp,ARGSL,3OAS60,DB4PS,3HAD60,ACGAMT,SO4t2,3OAS11M12,HEXTT,EX_zn2(e),PYDXtr,4HBZCL,CU2tex,3HAD140,IPPMIa,DXPRIr,DHQTi,EAR13M14x
